"","OTU","Sample","Abundance","sample_Sample","host_subject_id","Timepoint","Site","Diet","Age","agexdiet","serum_zinc","wk6_plasma_MCP","wk6_WB_LPS_IL6","MLN_IL17","MLN_IFNg","MLN_CD4_naive","Study","agexstudy","agexdietxweek","agexdietxstudy","Kingdom","Phylum","Class","Order","Family","Genus"
"3379","ASV34","ZAM2_s50_OZD",0.656637249074032,"ZAM2_s50_OZD","ZAM2_11","wk6","fecal_wk6","deficient","old","OZD",0.51,52.4,557.9,297.7,3535.6,22.54,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"2478","ASV28","ZAM1_s75_OZS",0.654642736920433,"ZAM1_s75_OZS","ZAM1_38","wk6","fecal_wk6","supplemented","old","OZS",0.66,0,731.9,NA,NA,20.1,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Other < 10%"
"1517","ASV20","ZAM2_s21_YZA",0.652489841919506,"ZAM2_s21_YZA","ZAM2_21","wk0","fecal_wk0","adequate","young","YZA",0.6,11.8,26.5,167.4,284,87.5,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"1543","ASV20","ZAM2_s55_OZD",0.651531959439401,"ZAM2_s55_OZD","ZAM2_16","wk6","fecal_wk6","deficient","old","OZD",0.49,95.2,931.1,400.4,3745.8,61.24,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"498","ASV11","ZAM2_s74_OZA",0.651389300899832,"ZAM2_s74_OZA","ZAM2_35","wk6","fecal_wk6","adequate","old","OZA",NA,NA,NA,NA,NA,NA,"ZAM2","old_ZAM2","wk6_OZA","OZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"3011","ASV33","ZAM1_s51_OZA",0.650495377248828,"ZAM1_s51_OZA","ZAM1_14","wk6","fecal_wk6","adequate","old","OZA",0.79,50.8,1037.8,NA,NA,49.6,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Other < 10%"
"1779","ASV22","ZAM2_s48_YZD",0.645368572506181,"ZAM2_s48_YZD","ZAM2_9","wk6","fecal_wk6","deficient","young","YZD",0.55,8.3,95.9,20.9,235.7,83.56,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"1441","ASV20","ZAM1_s45_YZA",0.643865070319935,"ZAM1_s45_YZA","ZAM1_7","wk6","fecal_wk6","adequate","young","YZA",0.66,0,663.5,78.8,428.7,85.4,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"2015","ASV24","ZAM1_s44_YZA",0.643541045361796,"ZAM1_s44_YZA","ZAM1_6","wk6","fecal_wk6","adequate","young","YZA",0.65,32.1,613,14.3,168.8,82.1,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Other < 10%"
"1226","ASV14","ZAM2_s36_OZA",0.6433531920894,"ZAM2_s36_OZA","ZAM2_36","wk0","fecal_wk0","adequate","old","OZA",0.53,334.7,51.7,150.7,1315.8,70.8,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Other < 10%"
"2784","ASV3","ZAM1_s62_YZS",0.641657734905323,"ZAM1_s62_YZS","ZAM1_25","wk6","fecal_wk6","supplemented","young","YZS",0.87,0,467.3,62.6,197.8,85.4,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"508","ASV11","ZAM1_s55_OZA",0.639644068010234,"ZAM1_s55_OZA","ZAM1_18","wk6","fecal_wk6","adequate","old","OZA",0.64,47.4,1211,881.1,2331.7,18.5,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"4518","ASV8","ZAM2_s7_YZD",0.639370466002705,"ZAM2_s7_YZD","ZAM2_7","wk0","fecal_wk0","deficient","young","YZD",0.62,16,380.9,58.8,322.8,86.54,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Other < 10%"
"1182","ASV14","ZAM2_s78_OZA",0.637541566334136,"ZAM2_s78_OZA","ZAM2_39","wk6","fecal_wk6","adequate","old","OZA",0.54,30.2,465.2,50.2,6175.3,25.4,"ZAM2","old_ZAM2","wk6_OZA","OZA_ZAM2","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Other < 10%"
"4228","ASV6","ZAM2_s11_OZD",0.634845749917952,"ZAM2_s11_OZD","ZAM2_11","wk0","fecal_wk0","deficient","old","OZD",0.51,52.4,557.9,297.7,3535.6,22.54,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella"
"3292","ASV34","ZAM1_s18_OZA",0.633170098341736,"ZAM1_s18_OZA","ZAM1_18","wk0","fecal_wk0","adequate","old","OZA",0.64,47.4,1211,881.1,2331.7,18.5,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"2476","ASV28","ZAM1_s52_OZA",0.629953409695741,"ZAM1_s52_OZA","ZAM1_15","wk6","fecal_wk6","adequate","old","OZA",0.62,13.7,337.8,820.1,3164.3,34.8,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Other < 10%"
"770","ASV12","ZAM2_s16_OZD",0.624678474314691,"ZAM2_s16_OZD","ZAM2_16","wk0","fecal_wk0","deficient","old","OZD",0.49,95.2,931.1,400.4,3745.8,61.24,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"2555","ASV28","ZAM2_s66_YZA",0.623457225474293,"ZAM2_s66_YZA","ZAM2_27","wk6","fecal_wk6","adequate","young","YZA",0.74,14.5,426.9,28.8,167,85.6,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Other < 10%"
"1451","ASV20","ZAM1_s12_OZA",0.622738496420418,"ZAM1_s12_OZA","ZAM1_12","wk0","fecal_wk0","adequate","old","OZA",0.6,27.6,768.5,122.6,1390.9,40.7,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"1475","ASV20","ZAM2_s64_YZA",0.618610833073528,"ZAM2_s64_YZA","ZAM2_25","wk6","fecal_wk6","adequate","young","YZA",0.66,0,156.2,NA,NA,NA,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"3691","ASV4","ZAM1_s47_YZA",0.617856443080138,"ZAM1_s47_YZA","ZAM1_9","wk6","fecal_wk6","adequate","young","YZA",0.56,21.9,506.9,21.7,320,79,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_Genus_ASV4"
"4153","ASV6","ZAM2_s12_OZD",0.617509705733416,"ZAM2_s12_OZD","ZAM2_12","wk0","fecal_wk0","deficient","old","OZD",0.75,27,474.1,1463.5,2109.9,18.56,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella"
"3043","ASV33","ZAM2_s12_OZD",0.616103077702133,"ZAM2_s12_OZD","ZAM2_12","wk0","fecal_wk0","deficient","old","OZD",0.75,27,474.1,1463.5,2109.9,18.56,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Other < 10%"
"2013","ASV24","ZAM1_s60_YZS",0.615990488928518,"ZAM1_s60_YZS","ZAM1_23","wk6","fecal_wk6","supplemented","young","YZS",0.81,0,1321,21.9,812,79.5,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Other < 10%"
"1431","ASV20","ZAM1_s11_OZA",0.615936125142578,"ZAM1_s11_OZA","ZAM1_11","wk0","fecal_wk0","adequate","old","OZA",NA,53.4,2153.1,NA,NA,28.3,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"3323","ASV34","ZAM1_s73_OZS",0.615073713905955,"ZAM1_s73_OZS","ZAM1_36","wk6","fecal_wk6","supplemented","old","OZS",0.82,56.9,951.4,249.1,1126.2,34.7,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"3093","ASV33","ZAM2_s45_YZD",0.614067479041015,"ZAM2_s45_YZD","ZAM2_6","wk6","fecal_wk6","deficient","young","YZD",0.72,12.4,171.8,53.7,252.4,87.66,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Other < 10%"
"3331","ASV34","ZAM1_s32_OZS",0.611857523090464,"ZAM1_s32_OZS","ZAM1_32","wk0","fecal_wk0","supplemented","old","OZS",0.71,0,663.5,NA,NA,56.9,"ZAM1","old_ZAM1","wk0_OZS","OZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"1362","ASV2","ZAM1_s54_OZA",0.611506302258829,"ZAM1_s54_OZA","ZAM1_17","wk6","fecal_wk6","adequate","old","OZA",NA,NA,NA,161.7,1700.8,33.4,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"1838","ASV22","ZAM2_s50_OZD",0.610910421144085,"ZAM2_s50_OZD","ZAM2_11","wk6","fecal_wk6","deficient","old","OZD",0.51,52.4,557.9,297.7,3535.6,22.54,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"4384","ASV7","ZAM1_s55_OZA",0.60939489040975,"ZAM1_s55_OZA","ZAM1_18","wk6","fecal_wk6","adequate","old","OZA",0.64,47.4,1211,881.1,2331.7,18.5,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dubosiella"
"3428","ASV36","ZAM1_s30_OZS",0.608936555394026,"ZAM1_s30_OZS","ZAM1_30","wk0","fecal_wk0","supplemented","old","OZS",0.59,0,690.1,NA,NA,70.3,"ZAM1","old_ZAM1","wk0_OZS","OZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Other < 10%"
"3421","ASV36","ZAM1_s55_OZA",0.60813450800973,"ZAM1_s55_OZA","ZAM1_18","wk6","fecal_wk6","adequate","old","OZA",0.64,47.4,1211,881.1,2331.7,18.5,"ZAM1","old_ZAM1","wk6_OZA","OZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Other < 10%"
"4407","ASV8","ZAM2_s40_YZD",0.606995884773663,"ZAM2_s40_YZD","ZAM2_1","wk6","fecal_wk6","deficient","young","YZD",0.51,10.6,151.8,22.6,115.6,89.05,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Other < 10%"
"1495","ASV20","ZAM1_s43_YZA",0.60602239682252,"ZAM1_s43_YZA","ZAM1_5","wk6","fecal_wk6","adequate","young","YZA",0.73,26.7,233.7,29.9,562.5,86.4,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"3338","ASV34","ZAM1_s71_OZS",0.60425186986478,"ZAM1_s71_OZS","ZAM1_34","wk6","fecal_wk6","supplemented","old","OZS",0.61,25.8,1234.6,160,2422.4,44.9,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"218","ASV10","ZAM2_s29_YZA",0.603203217083824,"ZAM2_s29_YZA","ZAM2_29","wk0","fecal_wk0","adequate","young","YZA",0.73,9.2,275.9,17.7,417.3,80.1,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Other < 10%"
"1999","ASV24","ZAM1_s24_YZS",0.597769858604437,"ZAM1_s24_YZS","ZAM1_24","wk0","fecal_wk0","supplemented","young","YZS",0.72,0,783.6,26.7,307.7,87.7,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Other < 10%"
"2110","ASV24","ZAM2_s38_OZA",0.597353803738191,"ZAM2_s38_OZA","ZAM2_38","wk0","fecal_wk0","adequate","old","OZA",0.53,15.5,391.9,496.1,1526,29.5,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Other < 10%"
"782","ASV12","ZAM2_s2_YZD",0.596792241700858,"ZAM2_s2_YZD","ZAM2_2","wk0","fecal_wk0","deficient","young","YZD",0.74,25.2,59.3,21.4,215.7,86.09,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"162","ASV10","ZAM1_s23_YZS",0.595290273737897,"ZAM1_s23_YZS","ZAM1_23","wk0","fecal_wk0","supplemented","young","YZS",0.81,0,1321,21.9,812,79.5,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Other < 10%"
"4431","ASV8","ZAM2_s14_OZD",0.59120702044727,"ZAM2_s14_OZD","ZAM2_14","wk0","fecal_wk0","deficient","old","OZD",0.43,32.6,497.3,475.2,2278.6,32.04,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Other < 10%"
"3420","ASV36","ZAM1_s19_OZA",0.590757678929643,"ZAM1_s19_OZA","ZAM1_19","wk0","fecal_wk0","adequate","old","OZA",0.58,69.3,1912.3,NA,NA,21.6,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Other < 10%"
"3841","ASV57","ZAM1_s40_YZA",0.586237219166509,"ZAM1_s40_YZA","ZAM1_2","wk6","fecal_wk6","adequate","young","YZA",0.77,0,533.1,21.7,205.7,84.9,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Other < 10%"
"1500","ASV20","ZAM2_s29_YZA",0.585176454274423,"ZAM2_s29_YZA","ZAM2_29","wk0","fecal_wk0","adequate","young","YZA",0.73,9.2,275.9,17.7,417.3,80.1,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"1257","ASV14","ZAM2_s16_OZD",0.584993018299405,"ZAM2_s16_OZD","ZAM2_16","wk0","fecal_wk0","deficient","old","OZD",0.49,95.2,931.1,400.4,3745.8,61.24,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Other < 10%"
"439","ASV11","ZAM1_s10_YZA",0.584290875948049,"ZAM1_s10_YZA","ZAM1_10","wk0","fecal_wk0","adequate","young","YZA",0.61,0,265.1,72.2,366.9,83.8,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"82","ASV1","ZAM1_s20_YZS",0.580557710505452,"ZAM1_s20_YZS","ZAM1_20","wk0","fecal_wk0","supplemented","young","YZS",0.83,0,538.5,44.9,416.4,86.4,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"4458","ASV8","ZAM2_s46_YZD",0.580226996122385,"ZAM2_s46_YZD","ZAM2_7","wk6","fecal_wk6","deficient","young","YZD",0.62,16,380.9,58.8,322.8,86.54,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Other < 10%"
"1504","ASV20","ZAM2_s44_YZD",0.579844601646759,"ZAM2_s44_YZD","ZAM2_5","wk6","fecal_wk6","deficient","young","YZD",0.6,16.9,115.1,7.1,83.6,82.11,"ZAM2","young_ZAM2","wk6_YZD","YZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"191","ASV10","ZAM1_s3_YZA",0.576916955788268,"ZAM1_s3_YZA","ZAM1_3","wk0","fecal_wk0","adequate","young","YZA",0.71,13.7,583.3,NA,NA,NA,"ZAM1","young_ZAM1","wk0_YZA","YZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Other < 10%"
"551","ASV11","ZAM2_s20_OZD",0.575676627114783,"ZAM2_s20_OZD","ZAM2_20","wk0","fecal_wk0","deficient","old","OZD",0.45,60.5,968.2,485.6,834,54.01,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium"
"2027","ASV24","ZAM1_s59_YZS",0.574525745257453,"ZAM1_s59_YZS","ZAM1_22","wk6","fecal_wk6","supplemented","young","YZS",0.66,45.7,146.1,49.7,454.4,85.2,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Other < 10%"
"2079","ASV24","ZAM2_s32_OZA",0.57393775963851,"ZAM2_s32_OZA","ZAM2_32","wk0","fecal_wk0","adequate","old","OZA",0.6,84,596.6,113.5,5211.2,29.9,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Other < 10%"
"3290","ASV34","ZAM1_s22_YZS",0.573849412670903,"ZAM1_s22_YZS","ZAM1_22","wk0","fecal_wk0","supplemented","young","YZS",0.66,45.7,146.1,49.7,454.4,85.2,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"237","ASV10","ZAM2_s21_YZA",0.572411543138476,"ZAM2_s21_YZA","ZAM2_21","wk0","fecal_wk0","adequate","young","YZA",0.6,11.8,26.5,167.4,284,87.5,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Other < 10%"
"1443","ASV20","ZAM1_s67_OZS",0.5724027144871,"ZAM1_s67_OZS","ZAM1_30","wk6","fecal_wk6","supplemented","old","OZS",0.59,0,690.1,NA,NA,70.3,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"777","ASV12","ZAM2_s15_OZD",0.572217837411208,"ZAM2_s15_OZD","ZAM2_15","wk0","fecal_wk0","deficient","old","OZD",0.43,43.9,370.2,931,1526,11.48,"ZAM2","old_ZAM2","wk0_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"99","ASV1","ZAM1_s23_YZS",0.572179941825716,"ZAM1_s23_YZS","ZAM1_23","wk0","fecal_wk0","supplemented","young","YZS",0.81,0,1321,21.9,812,79.5,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"4639","ASV9","ZAM1_s71_OZS",0.570170590619358,"ZAM1_s71_OZS","ZAM1_34","wk6","fecal_wk6","supplemented","old","OZS",0.61,25.8,1234.6,160,2422.4,44.9,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Other < 10%"
"3120","ASV33","ZAM2_s56_OZD",0.569871634975152,"ZAM2_s56_OZD","ZAM2_17","wk6","fecal_wk6","deficient","old","OZD",0.59,29.8,949.5,291.5,2912.6,20.73,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Other < 10%"
"230","ASV10","ZAM2_s22_YZA",0.569427983707276,"ZAM2_s22_YZA","ZAM2_22","wk0","fecal_wk0","adequate","young","YZA",0.69,20.6,243.9,9.5,77,88.4,"ZAM2","young_ZAM2","wk0_YZA","YZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Other < 10%"
"1522","ASV20","ZAM2_s58_OZD",0.569323927835695,"ZAM2_s58_OZD","ZAM2_19","wk6","fecal_wk6","deficient","old","OZD",0.32,23.4,744.7,249,NA,43.29,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"4535","ASV8","ZAM1_s62_YZS",0.568774562343694,"ZAM1_s62_YZS","ZAM1_25","wk6","fecal_wk6","supplemented","young","YZS",0.87,0,467.3,62.6,197.8,85.4,"ZAM1","young_ZAM1","wk6_YZS","YZS_ZAM1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Other < 10%"
"2484","ASV28","ZAM2_s32_OZA",0.568471685737191,"ZAM2_s32_OZA","ZAM2_32","wk0","fecal_wk0","adequate","old","OZA",0.6,84,596.6,113.5,5211.2,29.9,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Other < 10%"
"1433","ASV20","ZAM1_s20_YZS",0.566917588085353,"ZAM1_s20_YZS","ZAM1_20","wk0","fecal_wk0","supplemented","young","YZS",0.83,0,538.5,44.9,416.4,86.4,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"4159","ASV6","ZAM1_s20_YZS",0.566917588085353,"ZAM1_s20_YZS","ZAM1_20","wk0","fecal_wk0","supplemented","young","YZS",0.83,0,538.5,44.9,416.4,86.4,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella"
"1138","ASV14","ZAM1_s12_OZA",0.565278834655941,"ZAM1_s12_OZA","ZAM1_12","wk0","fecal_wk0","adequate","old","OZA",0.6,27.6,768.5,122.6,1390.9,40.7,"ZAM1","old_ZAM1","wk0_OZA","OZA_ZAM1","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Other < 10%"
"845","ASV12","ZAM2_s38_OZA",0.560863865500791,"ZAM2_s38_OZA","ZAM2_38","wk0","fecal_wk0","adequate","old","OZA",0.53,15.5,391.9,496.1,1526,29.5,"ZAM2","old_ZAM2","wk0_OZA","OZA_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"1724","ASV22","ZAM1_s70_OZS",0.560520430227271,"ZAM1_s70_OZS","ZAM1_33","wk6","fecal_wk6","supplemented","old","OZS",0.79,19.9,933.1,316.9,902.8,52.9,"ZAM1","old_ZAM1","wk6_OZS","OZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"3372","ASV34","ZAM2_s51_OZD",0.557759048091225,"ZAM2_s51_OZD","ZAM2_12","wk6","fecal_wk6","deficient","old","OZD",0.75,27,474.1,1463.5,2109.9,18.56,"ZAM2","old_ZAM2","wk6_OZD","OZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"1993","ASV24","ZAM1_s22_YZS",0.557673791642596,"ZAM1_s22_YZS","ZAM1_22","wk0","fecal_wk0","supplemented","young","YZS",0.66,45.7,146.1,49.7,454.4,85.2,"ZAM1","young_ZAM1","wk0_YZS","YZS_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Other < 10%"
"3288","ASV34","ZAM2_s1_YZD",0.556315853889204,"ZAM2_s1_YZD","ZAM2_1","wk0","fecal_wk0","deficient","young","YZD",0.51,10.6,151.8,22.6,115.6,89.05,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Other < 10%"
"4294","ASV7","ZAM2_s69_YZA",0.555242191355849,"ZAM2_s69_YZA","ZAM2_30","wk6","fecal_wk6","adequate","young","YZA",0.72,0,384.5,21.4,233.4,87.3,"ZAM2","young_ZAM2","wk6_YZA","YZA_ZAM2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dubosiella"
"749","ASV12","ZAM1_s48_YZA",0.554705727838811,"ZAM1_s48_YZA","ZAM1_10","wk6","fecal_wk6","adequate","young","YZA",0.61,0,265.1,72.2,366.9,83.8,"ZAM1","young_ZAM1","wk6_YZA","YZA_ZAM1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"1533","ASV20","ZAM2_s3_YZD",0.554456093292553,"ZAM2_s3_YZD","ZAM2_3","wk0","fecal_wk0","deficient","young","YZD",0.5,19.3,232.6,30.3,240.3,82.5,"ZAM2","young_ZAM2","wk0_YZD","YZD_ZAM2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
